id,target
0,7.566001
5,7.3796144
15,7.5096736
16,7.4718986
17,6.744277
19,7.2038302
20,6.871596
21,7.6596265
23,7.1525736
29,7.2574325
31,6.949643
32,7.472167
33,7.4064536
34,7.383229
35,7.803024
37,7.325114
38,7.210989
39,7.8308043
40,7.3178153
44,7.2840743
49,7.711043
53,7.8250866
56,7.298414
60,7.743223
61,7.195909
63,6.7748165
64,7.823211
66,6.838892
70,7.703566
71,6.9780107
72,7.0337377
75,7.74331
76,7.3127747
78,7.4517336
85,7.385035
86,7.0707717
89,7.4491267
90,7.416381
92,7.6409454
93,7.209494
94,7.5630765
100,7.456302
101,7.5681543
102,7.686546
105,7.023026
106,7.4096627
107,6.946052
108,7.882791
109,7.7087803
112,7.657781
113,7.5558267
116,7.696148
117,7.369425
118,7.502466
120,7.764687
129,7.120982
130,7.228346
132,7.704736
133,7.8324904
134,7.422771
136,7.393064
137,7.7792115
141,7.156775
142,7.65103
152,7.7945256
154,7.8716564
156,7.1046824
160,7.1559978
161,7.347099
166,7.3435154
170,7.4773445
173,7.3950224
174,7.7859454
175,7.545582
179,7.512825
182,7.3275332
186,7.3584
188,7.386046
189,7.223699
191,7.9659176
193,7.285701
194,7.4015036
195,7.7775655
196,7.826416
197,7.7658005
199,7.7710085
200,7.365948
202,7.320023
203,7.9665046
204,7.3177924
206,7.7485614
207,7.7311974
212,7.4778194
217,7.789345
218,7.4880114
220,7.2547436
224,7.27964
225,7.152319
229,7.585613
230,7.7357674
234,7.38481
235,7.6157336
238,7.6654677
239,7.8438277
241,7.0687485
243,7.2399426
245,7.265731
247,7.5892754
251,7.648595
252,7.129534
253,7.7361226
255,7.7622547
256,7.2893662
258,7.6535234
259,7.3466616
260,6.919902
263,7.4856653
264,7.3494563
266,7.3185606
267,6.693568
268,7.095207
270,7.2485785
273,7.444643
274,7.178992
275,8.489791
276,7.3956747
277,7.756755
281,7.4170465
282,7.4394093
285,7.485601
292,7.262133
293,7.323797
295,7.6624455
298,7.4540863
299,7.748199
300,7.6374483
301,7.519583
302,7.317748
309,7.728928
311,7.519906
316,7.355167
317,7.4847775
319,7.749966
321,6.9773097
322,8.012292
324,7.635557
328,7.739758
329,8.113832
331,7.1658607
334,7.2968855
337,7.1636705
338,7.2458363
340,7.190441
344,8.173873
349,7.9628057
350,7.5298786
351,7.239927
354,7.6329165
356,7.5842776
358,7.2463746
361,7.64786
364,7.6366615
365,7.3142533
370,7.6829634
372,7.4425764
374,7.3173604
375,7.12795
376,7.593639
379,7.199828
380,7.6450286
382,7.488488
383,7.4453397
385,7.2450953
389,6.839904
392,6.845825
394,7.777987
395,7.7228994
398,7.6468716
400,7.592519
402,7.701081
403,6.85833
406,8.190928
410,8.00145
412,7.5459175
413,7.485998
417,7.5787497
418,8.061667
419,7.2327266
420,7.211595
423,7.2305417
424,7.531455
426,7.957361
427,7.542012
432,8.225877
434,7.423755
438,7.3501835
441,7.2501
443,7.3022623
448,6.994393
449,7.532092
451,7.2540083
452,7.568945
457,7.5031176
458,8.0116205
459,7.5431194
464,7.5448813
465,7.7863407
467,7.7023735
471,7.3134828
472,7.582033
477,7.6335454
478,7.4429126
480,7.241321
483,7.509934
487,6.615279
489,7.6613646
491,7.5820446
492,7.2951293
496,7.5471635
500,7.418528
501,7.5113683
502,7.498319
503,7.6295114
505,7.443091
506,7.4410167
514,7.3890686
517,7.4936366
519,7.279691
522,7.304993
523,7.896276
528,7.799436
530,7.1335526
532,6.784059
535,7.0801725
538,7.1391625
542,7.075339
546,7.0331335
548,7.777297
550,8.001395
555,7.8067584
557,7.7295322
559,7.684397
560,7.2506075
562,7.4283442
566,7.2629566
567,7.394371
569,7.1239815
571,8.478972
572,7.4837165
574,7.3873434
577,7.4387164
581,7.5741553
583,7.660276
587,6.71454
590,7.0060773
592,7.608119
593,7.8286266
608,7.3800206
612,7.2311454
614,8.00171
616,7.413284
617,7.3163652
625,7.135046
626,7.8879848
631,7.437022
633,7.6504016
636,7.7085323
639,7.5824323
641,6.8710876
642,7.9514394
644,8.029958
645,7.8325
646,7.458155
647,7.8038015
649,7.218738
650,7.453063
651,7.369335
653,7.288386
655,7.2320337
656,7.5397024
662,7.4880652
669,7.4069424
670,7.6213036
673,7.678423
674,7.4145775
675,7.188272
685,7.1420283
688,7.974925
689,7.018821
690,7.5542097
691,7.247385
696,7.202637
698,7.4693127
700,7.5024886
701,6.9861007
702,7.431491
703,7.298825
704,7.538079
706,7.576861
708,7.4291754
716,7.4590335
717,7.674202
718,7.3315687
719,7.6075892
720,7.184576
721,7.8491306
723,6.777458
725,7.74026
726,6.512444
728,7.5454164
730,7.392207
731,7.651703
734,7.0026712
736,7.8220787
739,7.392725
743,7.141601
747,7.2162333
749,7.5425406
752,7.1663218
759,7.55733
763,7.640202
764,7.05411
765,7.2071414
766,7.913916
769,7.386844
776,7.5447693
778,7.3237796
783,7.333053
784,7.202236
787,7.3059382
791,7.3777075
792,7.647132
796,7.715883
799,7.244182
800,7.020311
801,7.360539
803,7.370588
804,6.9774213
805,7.6848893
806,7.105983
807,7.3007913
809,7.801017
811,8.000948
813,7.8567104
814,7.8466845
815,7.6332283
816,7.7005196
818,7.352648
822,7.1052456
828,7.0248303
831,7.1242113
832,7.198397
834,7.8179274
835,7.48809
836,7.5999417
838,7.9651194
839,7.8149643
842,7.188782
845,7.7881947
846,7.6670284
848,7.2663436
852,7.166694
856,7.2915344
857,7.5721054
860,7.6022305
869,7.161272
871,8.002133
876,7.406331
885,6.9025664
887,7.548148
888,7.4816113
889,7.7057977
891,7.4248486
895,7.8127966
902,7.238004
903,7.7551217
905,7.60991
907,7.532155
908,7.2718525
909,7.78324
910,7.1861024
911,7.864794
913,7.0246406
914,7.724838
916,7.197815
917,7.5253773
919,7.3473687
923,7.7866597
924,7.7034693
925,7.375287
926,7.3751855
929,7.6356335
930,7.758632
931,7.195064
936,7.410286
937,7.5416417
947,7.466461
949,7.0017247
952,7.2191124
955,7.072056
956,7.714966
961,7.481527
963,7.4700003
964,7.4612255
966,7.7730002
968,7.370532
969,7.737787
971,7.6216216
974,7.7729373
980,7.799805
981,7.594679
982,7.6096115
983,7.482499
984,7.2314906
986,7.1902804
992,7.422276
993,7.165697
994,7.482193
998,7.6981053
999,7.6337733
1004,7.628859
1006,7.3411784
1007,7.495163
1011,7.619564
1012,7.767824
1014,7.1421523
1020,7.9769
1021,7.5012093
1023,7.5159698
1025,7.1477866
1026,7.0451093
1027,7.4364004
1033,8.155273
1034,7.163661
1038,7.4489903
1040,7.4069653
1043,7.2627172
1045,7.9227514
1046,7.038185
1048,7.263181
1049,7.7866926
1052,7.69477
1054,7.188488
1055,7.443717
1056,7.568146
1058,7.3498383
1060,7.076901
1064,7.3275666
1067,7.6295795
1069,6.852999
1070,7.5068407
1072,7.2306185
1077,7.2788596
1082,7.380975
1086,7.977236
1091,7.5109735
1093,7.635947
1097,7.058658
1101,7.232648
1104,7.4052734
1106,7.513656
1107,7.829882
1109,7.497099
1113,7.4452395
1115,7.2365904
1119,7.930859
1120,7.751613
1123,6.3559785
1131,7.57939
1132,7.561518
1134,7.276731
1136,6.897426
1137,7.549128
1138,7.5607386
1139,7.6908565
1141,7.7249756
1143,7.312992
1144,7.1530304
1145,7.8689556
1149,7.218117
1150,7.8641644
1153,7.245638
1155,7.2475033
1160,7.6780353
1163,7.1363845
1165,7.2427645
1166,7.8844247
1169,7.3845663
1172,7.5722895
1173,7.2432957
1175,7.1277003
1177,8.060769
1182,7.6263127
1184,7.5697103
1186,7.307384
1188,6.9299965
1193,7.1519794
1196,6.871426
1198,7.0946593
1199,7.823576
1202,7.752073
1203,7.463089
1208,7.7252083
1210,7.2536545
1211,7.4543204
1213,7.811287
1221,8.365984
1222,7.257093
1226,7.3055515
1227,7.5484476
1229,7.4215307
1230,7.4984875
1231,7.4534817
1232,7.492581
1233,7.1647735
1234,7.6559057
1236,7.2371597
1237,7.467615
1241,7.845231
1242,7.928158
1243,7.497466
1247,6.96957
1250,7.509296
1251,7.396678
1254,7.7524824
1258,7.832872
1259,7.3278537
1260,7.3412647
1262,7.3514433
1265,7.360207
1267,7.248884
1268,6.870466
1270,8.06254
1271,7.470756
1272,7.5563855
1275,7.246539
1276,7.4008026
1278,7.8425627
1281,7.4452267
1282,7.3211746
1283,7.490132
1284,7.2292147
1286,7.517542
1288,7.83956
1291,7.5049667
1293,7.381781
1294,7.564404
1295,7.8836727
1299,7.550391
1301,7.310835
1302,7.102022
1303,7.486345
1306,7.3753753
1308,7.321867
1310,7.2352242
1311,7.1592183
1314,7.5107517
1317,7.443466
1319,6.9523063
1323,7.27856
1325,7.79706
1331,7.427911
1332,7.433377
1335,7.4129705
1337,7.2602644
1338,7.0754538
1340,7.4388094
1341,6.9202538
1343,7.660054
1345,7.114872
1346,7.3475056
1347,7.8492846
1349,7.6401706
1351,7.912704
1357,7.330683
1364,7.2130766
1365,7.2876854
1366,7.247462
1369,7.405377
1371,7.264995
1373,7.681769
1382,7.411018
1385,7.612916
1386,7.6160207
1389,7.5660233
1392,7.8561068
1394,7.309784
1398,7.728737
1400,7.220313
1401,7.117035
1403,6.796792
1405,8.056875
1406,7.6394105
1413,7.529158
1414,7.420993
1415,7.1950693
1420,7.544281
1421,7.4603763
1423,7.1810575
1426,7.3285837
1427,7.378381
1428,7.2089934
1429,7.5151625
1430,7.379856
1431,6.8723116
1432,7.717299
1434,7.320553
1435,7.953797
1436,7.903789
1439,7.9237685
1443,7.0205817
1444,7.503394
1445,7.194863
1447,7.7697325
1450,7.3168006
1451,7.3163295
1452,7.672148
1453,7.2559147
1454,7.4195504
1455,7.601109
1457,6.998794
1459,7.1964674
1466,7.497596
1467,7.7228928
1468,7.610871
1469,7.6455994
1472,7.3957663
1475,6.920281
1476,7.69524
1477,7.8581696
1483,7.671645
1484,7.614627
1485,7.4640956
1488,7.5408764
1491,7.6900296
1494,7.3403783
1498,7.621148
1502,7.284967
1503,7.5787454
1506,7.340636
1509,7.925445
1511,7.2961135
1516,7.1979675
1518,7.548583
1519,7.237932
1523,8.158743
1526,7.658105
1532,7.4583793
1535,7.839269
1538,7.2705474
1539,7.5121055
1541,7.340533
1543,7.4640546
1544,7.582044
1546,7.7782664
1547,7.2116323
1548,7.312286
1555,7.279499
1556,7.7799287
1558,7.294641
1559,7.7879586
1561,7.6067767
1562,7.6008906
1564,7.4430895
1567,7.442568
1568,6.9032745
1569,7.703816
1575,6.977232
1576,6.870611
1578,7.8873415
1583,7.411374
1584,8.486802
1587,8.256504
1595,7.7721148
1596,7.388122
1597,7.037224
1601,6.9221334
1604,7.8458576
1611,7.203922
1613,7.060263
1615,7.1272674
1616,7.6354756
1620,7.339559
1622,7.656873
1626,7.173736
1628,6.943523
1629,7.4589133
1633,7.8771644
